#,Pattern / Algorithm,Question,Status,Solution / Hints,Link
,,,,
,── TWO POINTERS (CONVERGING) ──,,,,
1,Two Pointers (Converging),Check whether a string is a palindrome after ignoring case and punctuation.,Not Done,"Two pointers from both ends. Skip non-alphanumeric. Compare lowercased. O(n).",https://leetcode.com/problems/valid-palindrome/
2,Two Pointers (Converging),Solve two-sum in a sorted array.,Not Done,"Left and right pointers. Move left if sum < target, move right if sum > target. O(n).",https://leetcode.com/problems/two-sum-ii-input-array-is-sorted/
3,Two Pointers (Converging),Find all triplets with sum zero or equal to a target.,Not Done,"Sort. Fix one element, two-pointer on rest. Skip duplicates. O(n²).",https://leetcode.com/problems/3sum/
4,Two Pointers (Converging),Find all quadruplets with sum equal to a target.,Not Done,"Sort. Fix two elements, two-pointer on rest. Skip duplicates. O(n³).",https://leetcode.com/problems/4sum/
5,Two Pointers (Converging),Find the container with the most water.,Not Done,"Two pointers from both ends. Move the shorter line inward. Area = min(h) × width. O(n).",https://leetcode.com/problems/container-with-most-water/
6,Two Pointers (Converging),Compute trapped rain water.,Not Done,"Two pointers with leftMax and rightMax. Move from the side with smaller max. O(n) time O(1) space.",https://leetcode.com/problems/trapping-rain-water/
7,Two Pointers (Converging),Remove duplicates from a sorted array in place.,Not Done,"Slow (write) and fast (read) pointers. Write when new element differs. O(n).",https://leetcode.com/problems/remove-duplicates-from-sorted-array/
8,Two Pointers (Converging),Move all zeroes to the end while preserving relative order.,Not Done,"Two pointers: one for next non-zero position. Swap non-zero elements forward. O(n).",https://leetcode.com/problems/move-zeroes/
9,Two Pointers (Converging),Merge two sorted arrays in place.,Not Done,"Start from end of both arrays. Place larger element at back. O(m+n).",https://leetcode.com/problems/merge-sorted-array/
10,Two Pointers (Converging),Return the sorted squares of a sorted array.,Not Done,"Two pointers from both ends. Compare absolute values, fill result array from back. O(n).",https://leetcode.com/problems/squares-of-a-sorted-array/
11,Two Pointers (Converging),Decide whether removing at most one character can make a string a palindrome.,Not Done,"Two pointers. On mismatch, try skipping left or right char and check remaining substring. O(n).",https://leetcode.com/problems/valid-palindrome-ii/
12,Two Pointers (Converging),Find common elements across three sorted arrays in linear time.,Not Done,"Three pointers, one per array. Advance the pointer with the smallest value. O(n1+n2+n3).",https://www.geeksforgeeks.org/find-common-elements-three-sorted-arrays/
13,Two Pointers (Converging),Merge three sorted arrays into one sorted array with duplicates removed.,Not Done,"Three-pointer merge. Skip duplicates during insertion. O(n1+n2+n3).",https://www.geeksforgeeks.org/merge-3-sorted-arrays/
,,,,
,── FAST & SLOW POINTERS (FLOYD'S) ──,,,,
14,Fast & Slow Pointers,Detect a loop in a linked list.,Not Done,"Slow (1 step) and fast (2 steps). If they meet, cycle exists. O(n) time O(1) space.",https://leetcode.com/problems/linked-list-cycle/
15,Fast & Slow Pointers,Find the starting node of the loop in a linked list.,Not Done,"After detection, reset one pointer to head. Both move 1 step. Meeting point = cycle start.",https://leetcode.com/problems/linked-list-cycle-ii/
16,Fast & Slow Pointers,Find the middle node of a linked list.,Not Done,"Slow and fast pointers. When fast reaches end, slow is at middle. O(n).",https://leetcode.com/problems/middle-of-the-linked-list/
17,Fast & Slow Pointers,Remove the nth node from the end.,Not Done,"Two pointers with n gap. When fast reaches end, slow is at (n+1)th from end. O(n) one pass.",https://leetcode.com/problems/remove-nth-node-from-end-of-list/
18,Fast & Slow Pointers,Check whether a linked list is a palindrome.,Not Done,"Find mid (slow/fast), reverse second half, compare with first half, restore. O(n) time O(1) space.",https://leetcode.com/problems/palindrome-linked-list/
19,Fast & Slow Pointers,Find the repeated number (Floyd's on array).,Not Done,"Treat values as next pointers. Floyd's cycle detection on array. O(n) time O(1) space.",https://leetcode.com/problems/find-the-duplicate-number/
,,,,
,── SLIDING WINDOW (VARIABLE SIZE) ──,,,,
